temperature,velocity,altitude,signal_strength
15.77,7.06,464,0.98
14.94,7.28,448,0.84
15.71,7.88,577,0.87
15.4,7.97,514,0.84
14.99,7.9,522,1.0
16.27,7.61,462,0.72
14.14,7.23,522,0.77
14.17,7.03,540,0.84
15.7,7.09,486,0.88
14.21,7.05,591,0.75
14.88,7.12,520,0.93
14.38,7.51,507,0.97
14.04,7.37,506,0.7
14.63,7.05,436,0.72
16.19,7.85,573,0.85
15.76,7.26,572,0.87
14.38,7.55,584,0.99
16.17,7.91,465,0.94
19.733595136820956,7.27,428,0.78
14.99,7.99,585,0.79
16.41227277628497,7.61,545,0.9
15.41,7.27,428,1.0
16.3,7.39,503,0.95
14.86,7.75,488,0.81
15.85,7.29,423,0.85
15.03,7.46,524,0.89
14.41,7.99,552,0.92
16.2,7.43,462,0.81
14.92,7.03,438,0.92
16.15,7.78,554,0.71
14.7,7.55,400,0.9
15.22,7.12,575,0.78
15.94,7.89,479,0.79
14.88,7.28,584,0.81
16.44,7.87,503,0.86
14.77,7.05,412,0.72
14.88,7.31,408,0.82
15.56,7.34,502,0.78
18.61054019872939,7.58,596,0.74
16.2,7.43,467,0.91
15.86,7.9,581,0.83
15.19,7.54,492,0.99
16.11,7.68,445,0.76
15.47,7.72,577,0.86
14.92,7.07,585,0.8
14.37,7.96,572,0.9
18.33683709117282,7.03,538,0.83
15.21,7.39,509,0.85
16.29,7.66,426,0.81
15.2,7.38,528,1.0
14.73,7.5,532,0.77
14.78,7.71,482,0.98
14.06,7.35,587,0.89
14.58,7.03,472,0.94
15.63,7.57,539,0.75
16.12,7.55,443,0.78
15.17,7.35,460,0.74
18.68219940777176,7.83,494,0.95
16.21,7.23,402,0.72
15.97,7.66,484,0.78
15.47,7.56,530,0.88
16.02,7.14,583,0.85
14.49,7.55,411,0.83
18.735694651060477,7.65,466,0.92
14.95,7.12,521,0.89
14.63,7.76,406,0.77
14.78,7.23,553,0.73
14.75,7.89,474,0.76
14.81,7.92,402,0.99
14.15,7.36,551,0.86
15.89,7.04,406,0.92
14.55,7.75,471,0.76
15.72,7.27,465,0.93
19.772034207843696,7.36,472,0.91
14.03,7.89,507,0.85
15.71,7.24,568,0.8
14.59,7.1,493,0.79
14.17,7.14,484,0.85
15.22,7.59,479,0.85
18.11722875167127,7.92,454,0.84
14.91,7.6,510,0.87
16.48,7.86,558,1.0
19.097971070950262,7.33,555,0.79
15.05,7.78,535,0.79
14.63,7.87,446,0.91
14.91,7.79,448,0.93
14.05,7.62,454,0.91
16.04,7.43,584,0.89
14.04,7.25,508,0.77
14.06,7.41,588,0.83
15.23,7.35,489,0.9
15.3,7.68,501,0.98
15.96,7.25,497,0.77
15.13,7.47,535,0.76
15.81,7.79,478,0.93
14.53,7.61,585,0.71
14.17,7.32,533,0.74
14.18,7.91,523,0.72
14.23,7.05,401,0.97
14.45,7.89,459,0.8
20.430596684867577,7.3,473,0.77
15.06,7.39,599,0.8
16.28,7.4,498,0.84
15.96,7.92,448,0.72
15.93,7.62,466,0.78
17.35911461907642,7.92,511,0.78
17.888213672067106,7.62,490,0.74
14.73,7.28,513,0.76
15.8,7.77,461,0.76
14.49,7.7,439,0.74
18.56620122250196,7.12,515,1.0
14.54,7.6,559,0.71
18.478208702627633,7.9,475,0.86
15.59,7.46,549,0.77
17.930590570759964,7.14,595,0.94
15.29,7.36,559,0.89
15.38,7.74,466,0.78
17.93984407248786,7.59,415,0.86
14.94,7.64,410,0.94
15.88,7.68,404,0.88
16.27797209520089,7.28,461,0.96
15.62,7.31,544,0.71
16.95897808176147,7.09,486,0.8
14.03,7.93,502,0.91
15.9,7.79,537,0.91
15.15,7.42,582,0.81
14.41,7.12,504,0.89
14.68,7.8,467,0.76
18.4439737394771,7.43,481,0.98
14.47,7.56,561,0.89
15.3,7.59,491,0.87
14.12,7.67,488,0.71
14.66,7.83,502,0.9
15.35,7.91,402,0.93
15.33,7.81,512,0.72
14.35,7.93,426,0.78
15.39,7.44,465,0.84
15.59,7.32,470,0.82
14.54,7.69,402,0.97
16.05,7.38,479,0.99
16.1,7.09,435,0.97
14.63,7.04,472,0.86
15.35,7.96,487,0.74
19.083505511553867,7.98,583,0.81
14.11,7.68,582,0.99
17.84275005879942,7.8,507,0.72
15.01,7.51,463,0.84
15.86,7.43,505,0.99
16.06,7.92,411,0.88
15.26,7.48,479,0.92
16.13,7.26,407,0.86
16.37,7.61,526,0.77
18.109448243700243,7.44,497,0.94
14.47,7.12,593,0.93
15.78,7.32,521,0.82
15.31,7.89,459,0.74
15.58,7.59,587,0.75
15.05,7.28,504,0.73
17.048636975091654,7.5,502,0.8
15.46,7.9,405,0.73
14.2,7.88,437,0.81
14.77,7.05,545,0.91
14.0,7.15,489,0.91
15.18,7.08,532,0.71
15.0,7.58,525,0.82
14.12,7.76,499,0.94
15.24,7.41,452,1.0
15.33,7.04,556,0.92
15.14,7.98,561,0.76
15.12,7.6,487,0.88
15.54,7.33,498,0.72
14.25,7.06,526,0.86
14.68,7.81,473,0.8
14.64,7.89,567,0.74
16.0,7.1,546,0.7
16.16,7.16,577,0.75
15.01,7.57,600,0.92
14.25,7.1,497,0.82
15.42,7.31,577,0.9
16.25,7.64,568,0.75
15.22,7.43,467,0.74
15.9,7.62,466,0.77
16.49,7.35,481,0.77
14.78,7.43,503,0.72
14.57,7.38,404,0.73
16.22,7.84,592,0.82
15.5,7.75,407,0.77
15.06,7.93,450,0.9
15.72,7.05,470,1.0
14.91,7.2,440,0.92
14.61,7.87,461,0.79
15.58,7.39,482,0.82
16.07,7.76,550,0.8
14.8,7.9,531,0.97
16.03,7.75,469,0.77
15.4,7.72,481,0.82
17.45793959289702,7.68,504,1.0
14.09,7.71,591,0.77
15.12,7.75,531,0.79
